user_id,credit_score,risk_category,default_probability
user_1,898,Excellent,0.002082544080861927
user_10,894,Excellent,0.009016084600527536
user_12,300,Very Risky,0.9999986742929801
user_14,899,Excellent,0.0009224795307750457
user_15,802,Excellent,0.16237375999999504
user_16,899,Excellent,0.0008912677485855774
user_17,899,Excellent,0.00016942192884995081
user_18,890,Excellent,0.016094291841145424
user_19,300,Very Risky,0.9999994436543069
user_2,899,Excellent,0.00028130311938991023
user_20,300,Very Risky,0.9997266386451357
user_3,899,Excellent,0.0007709730635921381
user_4,899,Excellent,9.852936094414934e-05
user_5,382,Very Risky,0.8629162229783758
user_6,899,Excellent,0.0004276025178303073
user_7,334,Very Risky,0.942938311702909
user_9,899,Excellent,0.0012696691517581518
