transaction_id,card_id,transaction_date,amount,merchant_category,transaction_type
txn_card_1_0_0,card_1,2026-01-18,500,shopping,in_store
txn_card_1_0_1,card_1,2026-01-10,200,groceries,online
txn_card_1_0_2,card_1,2026-01-17,200,entertainment,in_store
txn_card_1_0_3,card_1,2026-01-18,100,entertainment,in_store
txn_card_1_0_4,card_1,2026-01-13,200,utilities,in_store
txn_card_1_0_5,card_1,2026-01-21,500,shopping,online
txn_card_1_0_6,card_1,2026-01-06,200,groceries,online
txn_card_1_0_7,card_1,2026-01-22,1000,shopping,in_store
txn_card_1_0_8,card_1,2026-01-08,100,fuel,in_store
txn_card_1_0_9,card_1,2026-01-15,500,entertainment,in_store
txn_card_1_0_10,card_1,2026-01-30,200,fuel,in_store
txn_card_1_0_11,card_1,2026-01-10,1000,utilities,in_store
txn_card_1_0_12,card_1,2026-01-07,100,entertainment,online
txn_card_1_0_13,card_1,2026-01-10,1000,fuel,online
txn_card_1_0_14,card_1,2026-01-30,100,rent,online
txn_card_1_0_15,card_1,2026-01-14,200,utilities,online
txn_card_1_0_16,card_1,2026-01-08,5000,utilities,online
txn_card_1_0_17,card_1,2026-01-29,100,entertainment,online
txn_card_1_0_18,card_1,2026-01-08,200,fuel,online
txn_card_1_0_19,card_1,2026-01-31,500,entertainment,online
txn_card_1_0_20,card_1,2026-01-31,100,utilities,in_store
txn_card_1_1_0,card_1,2025-12-09,1000,entertainment,online
txn_card_1_1_1,card_1,2025-12-27,200,groceries,online
txn_card_1_1_2,card_1,2025-12-03,200,travel,in_store
txn_card_1_1_3,card_1,2025-12-15,5000,entertainment,online
txn_card_1_1_4,card_1,2025-12-18,500,rent,in_store
txn_card_1_1_5,card_1,2025-12-06,500,utilities,online
txn_card_1_1_6,card_1,2025-12-17,500,travel,online
txn_card_1_1_7,card_1,2025-12-03,500,travel,online
txn_card_1_1_8,card_1,2025-12-25,100,utilities,in_store
txn_card_1_1_9,card_1,2025-12-18,2000,utilities,online
txn_card_1_1_10,card_1,2025-12-23,200,utilities,in_store
txn_card_1_1_11,card_1,2025-12-10,200,fuel,online
txn_card_1_1_12,card_1,2025-12-07,5000,food_delivery,online
txn_card_1_1_13,card_1,2025-12-19,200,entertainment,in_store
txn_card_1_1_14,card_1,2025-12-30,200,entertainment,in_store
txn_card_1_1_15,card_1,2025-12-31,2000,rent,in_store
txn_card_1_1_16,card_1,2025-12-17,2000,fuel,in_store
txn_card_1_1_17,card_1,2025-12-20,500,entertainment,online
txn_card_1_1_18,card_1,2025-12-03,1000,fuel,in_store
txn_card_1_1_19,card_1,2025-12-19,200,fuel,online
txn_card_1_1_20,card_1,2025-12-24,1000,groceries,in_store
txn_card_1_1_21,card_1,2025-12-04,100,shopping,online
txn_card_1_1_22,card_1,2025-12-18,100,utilities,in_store
txn_card_1_1_23,card_1,2025-12-07,5000,entertainment,online
txn_card_1_1_24,card_1,2025-12-23,2000,fuel,online
txn_card_1_1_25,card_1,2025-12-23,500,travel,online
txn_card_1_1_26,card_1,2025-12-15,500,travel,in_store
txn_card_1_1_27,card_1,2025-12-10,500,utilities,online
txn_card_1_1_28,card_1,2025-12-09,500,fuel,online
txn_card_1_1_29,card_1,2025-12-05,500,utilities,in_store
txn_card_1_1_30,card_1,2025-12-14,500,travel,in_store
txn_card_1_1_31,card_1,2025-12-19,100,shopping,online
txn_card_1_1_32,card_1,2025-12-07,500,fuel,in_store
txn_card_1_1_33,card_1,2025-12-09,100,utilities,in_store
txn_card_1_1_34,card_1,2025-12-20,500,travel,online
txn_card_1_1_35,card_1,2025-12-21,2000,utilities,online
txn_card_1_1_36,card_1,2025-12-03,1000,utilities,online
txn_card_1_1_37,card_1,2025-12-12,2000,entertainment,in_store
txn_card_1_1_38,card_1,2025-12-12,2000,fuel,in_store
txn_card_1_1_39,card_1,2025-12-22,500,fuel,in_store
txn_card_1_1_40,card_1,2025-12-04,200,rent,online
txn_card_1_1_41,card_1,2025-12-13,100,groceries,online
txn_card_1_1_42,card_1,2025-12-18,100,travel,in_store
txn_card_1_1_43,card_1,2025-12-06,100,food_delivery,online
txn_card_1_1_44,card_1,2025-12-05,500,food_delivery,online
txn_card_1_1_45,card_1,2025-12-28,200,entertainment,online
txn_card_1_1_46,card_1,2025-12-30,200,travel,online
txn_card_1_1_47,card_1,2025-12-03,500,utilities,online
txn_card_1_1_48,card_1,2025-12-04,100,fuel,in_store
txn_card_1_1_49,card_1,2025-12-11,100,shopping,in_store
txn_card_1_2_0,card_1,2025-11-26,2000,shopping,online
txn_card_1_2_1,card_1,2025-11-19,200,groceries,online
txn_card_1_2_2,card_1,2025-11-05,100,shopping,online
txn_card_1_2_3,card_1,2025-11-26,500,fuel,in_store
